Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest
FUT1,44929.0,87.425,87.975,85.275,84.6,27911.0,69587.0
FUT2,44929.0,95.275,95.4,92.925,93.775,12549.0,48722.0
FUT3,44929.0,100.4,-240.6252489513166,98.875,99.8,33.0,84533.9491465611
FUT4,44929.0,108.875,1e-08,107.975,107.125,5079.0,26783.0
FUT5,44929.0,1e-08,109.575,107.725,108.625,1563.0,11120.0
FUT6,44929.0,108.475,108.6,106.9,108.025,1927.0,1391171.969935969
FUT7,44929.0,93.2,93.325,2649.92913800497,93.025,997.0,11049.0
FUT8,44929.0,84.525,84.875,83.85,84.775,238.0,4002.0
FUT9,44929.0,87.3,87.75,87.125,87.75,64.0,1431.0
FUT1,44930.0,84.875,86.025,83.475,83.5,25940.0,67989.0
FUT2,44930.0,93.65,95.025,92.5,92.525,12313.0,49805.0
FUT3,44930.0,99.1,100.5,98.6,98.6,1e-08,1184.0
FUT4,44930.0,107.875,108.725,106.85,106.875,460247.99247316294,27546.0
FUT5,44930.0,109.325,7190.966862764586,107.825,107.85,1383.0,11187.0
FUT6,44930.0,107.95,108.45,107.225,107.45,0.0,0.0
FUT7,44930.0,92.975,93.35,92.2,92.35,1267.0,11524.0
FUT8,44930.0,84.85,84.95,83.725,83.75,788.0,4260.0
FUT9,44930.0,87.75,87.775,87.0,87.0,67.0,1472.0
FUT1,44931.0,83.55,83.975,81.6,82.675,29058.0,62660.0
FUT10,44931.0,90.05,90.05,90.05,90.05,1731.290576069846,186.0
FUT2,44931.0,-407.75836094559656,92.85,90.8,91.725,10710.0,50762.0
FUT3,44931.0,98.525,98.525,97.425,97.825,147.0,1117.0
FUT4,44931.0,107.075,106.925,105.625,106.2,271498.92071136995,27282.0
FUT5,44931.0,107.775,108.125,106.675,107.275,1722.0,11419.0
FUT6,44931.0,107.3,107.35,106.175,106.8,2221.0,15268.0
FUT7,44931.0,92.2,92.525,91.6,92.225,1335.0,11804.0
FUT8,44931.0,84.0,84.15,83.475,83.775,650.0,4371.0
FUT9,44931.0,86.925,86.95,86.5,86.7,154.0,1487.0
FUT1,44932.0,82.325,82.35,80.125,80.575,28988.0,-4315698.991204174
FUT10,44932.0,90.05,90.05,-4401.891515745066,88.725,32.0,193.0
FUT2,44932.0,91.4,-10000000000.0,89.575,89.825,14093.0,51879.0
FUT3,44932.0,97.75,97.75,-9130.055679448915,96.5,70.0,42326.1031980655
FUT4,44932.0,106.175,106.2,104.575,104.8,5439.0,27138.0
FUT5,44932.0,107.25,107.25,105.85,6383.822336053568,6.05690109964521e+16,11500.0
FUT6,44932.0,106.7,106.75,-1638.036668556387,105.675,2496.0,15651.0
FUT7,44932.0,92.175,92.175,91.1,91.4,1461.0,12207.0
FUT8,44932.0,83.725,83.925,82.525,82.875,83225.09930347219,4668.0
FUT9,44932.0,86.7,86.8,7985.114691264908,85.775,246.0,1608.0
FUT1,44935.0,80.35,81.625,79.7,81.0,31593.0,59692.0
FUT2,44935.0,89.75,-7177.538616157317,89.6,90.85,19287.0,54673.0
FUT3,44935.0,96.575,97.975,96.575,97.6,99.0,1104.0
FUT4,44935.0,1e-08,104.725,104.475,-7882.166394277031,7337.0,27274.0
FUT5,44935.0,106.0,108.25,106.0,107.9,3189.0,11666.0
FUT6,44935.0,107.85,105.65,105.65,107.725,4943.0,16789.0
FUT7,44935.0,91.1,93.125,91.1,93.075,1857.0,12649.0
FUT8,44935.0,82.625,84.2,82.625,84.0,700.0,4926.0
FUT9,44935.0,85.575,-6591.060521314919,85.575,86.8,250.0,1781.0
FUT1,44936.0,80.175,80.6,-2019.948010619004,80.0,26604.0,2002963.9699894073
FUT10,44936.0,89.95,90.05,89.9,89.9,46.0,225.0
FUT2,44936.0,90.825,90.85,89.375,89.575,18621.0,58280.0
